y_test_denorm,Date
1084.8,16/11/2015
1079.2,17/11/2015
1067.8,18/11/2015
1082.6,19/11/2015
1081.8,20/11/2015
1070.5,23/11/2015
1076.4,24/11/2015
1068,25/11/2015
1071,26/11/2015
1057.4,27/11/2015
1061.9,30/11/2015
1065.4,1/12/2015
1055.4,2/12/2015
1055.5,3/12/2015
1079.3,4/12/2015
1075.8,7/12/2015
1072.1,8/12/2015
1081,9/12/2015
1071,10/12/2015
1072.5,11/12/2015
1068.3,14/12/2015
1061.5,15/12/2015
1075.3,16/12/2015
1049.4,17/12/2015
1062.5,18/12/2015
1078.8,21/12/2015
1074.9,22/12/2015
1068.3,23/12/2015
1068.3,24/12/2015
1068.3,25/12/2015
1068.3,28/12/2015
1070.1,29/12/2015
1060,30/12/2015
1060,31/12/2015
1060,1/1/2016
1082.3,4/1/2016
1077,5/1/2016
1091.4,6/1/2016
1106.4,7/1/2016
1101.9,8/1/2016
1100.8,11/1/2016
1085.4,12/1/2016
1088.2,13/1/2016
1088.4,14/1/2016
1093.8,15/1/2016
1089.2,18/1/2016
1086.3,19/1/2016
1101.8,20/1/2016
1096.5,21/1/2016
1096.3,22/1/2016
1106.6,25/1/2016
1113.6,26/1/2016
1116.3,27/1/2016
1114,28/1/2016
1111.8,29/1/2016
1126.5,1/2/2016
1128.5,2/2/2016
1132,3/2/2016
1156.4,4/2/2016
1150.4,5/2/2016
1193.3,8/2/2016
1191,9/2/2016
1190,10/2/2016
1241,11/2/2016
1239.8,12/2/2016
1208.2,15/2/2016
1209.5,16/2/2016
1210,17/2/2016
1210.1,18/2/2016
1231.2,19/2/2016
1211,22/2/2016
1221.4,23/2/2016
1250.8,24/2/2016
1236,25/2/2016
1226.5,26/2/2016
1234.9,29/2/2016
1236.5,1/3/2016
1239.2,2/3/2016
1250.3,3/3/2016
1277.5,4/3/2016
1267.9,7/3/2016
1267,8/3/2016
1246.4,9/3/2016
1266.5,10/3/2016
1264.8,11/3/2016
1242.8,14/3/2016
1232,15/3/2016
1228.5,16/3/2016
1266.5,17/3/2016
1252.1,18/3/2016
1244.9,21/3/2016
1252.5,22/3/2016
1217.6,23/3/2016
1221,24/3/2016
1221,25/3/2016
1221,28/3/2016
1226,29/3/2016
1236.3,30/3/2016
1237,31/3/2016
1213.6,1/4/2016
1219.8,4/4/2016
1231.3,5/4/2016
1221.4,6/4/2016
1242.1,7/4/2016
1239.5,8/4/2016
1254.8,11/4/2016
1254.6,12/4/2016
1245.8,13/4/2016
1233.9,14/4/2016
1227.1,15/4/2016
1234.3,18/4/2016
1255.4,19/4/2016
1252,20/4/2016
1249.3,21/4/2016
1243.3,22/4/2016
1238.9,25/4/2016
1241.7,26/4/2016
1247.4,27/4/2016
1256,28/4/2016
1285.7,29/4/2016
1285.7,2/5/2016
1294,3/5/2016
1283,4/5/2016
1280.3,5/5/2016
1289,6/5/2016
1265.3,9/5/2016
1262.8,10/5/2016
1276.9,11/5/2016
1279.3,12/5/2016
1265.9,13/5/2016
1285.8,16/5/2016
1277,17/5/2016
1272.9,18/5/2016
1246.3,19/5/2016
1254.2,20/5/2016
1245.9,23/5/2016
1236.9,24/5/2016
1220.6,25/5/2016
1223.9,26/5/2016
1216.3,27/5/2016
1216.3,30/5/2016
1212.1,31/5/2016
1214.5,1/6/2016
1212.4,2/6/2016
1240.5,3/6/2016
1244,6/6/2016
1241,7/6/2016
1263,8/6/2016
1263.9,9/6/2016
1275.5,10/6/2016
1280.8,13/6/2016
1287.2,14/6/2016
1283.3,15/6/2016
1310.8,16/6/2016
1290.7,17/6/2016
1281.8,20/6/2016
1272.6,21/6/2016
1264.9,22/6/2016
1262.2,23/6/2016
1315.5,24/6/2016
1324.6,27/6/2016
1309.7,28/6/2016
1321.5,29/6/2016
1320.8,30/6/2016
1340,1/7/2016
1350.8,4/7/2016
1350.8,5/7/2016
1366.3,6/7/2016
1356.7,7/7/2016
1354.3,8/7/2016
1357.1,11/7/2016
1342.4,12/7/2016
1342.8,13/7/2016
1323.6,14/7/2016
1327,15/7/2016
1334.7,18/7/2016
1330.9,19/7/2016
1315.9,20/7/2016
1321.2,21/7/2016
1320.8,22/7/2016
1313.2,25/7/2016
1323,26/7/2016
1329,27/7/2016
1341.8,28/7/2016
1342,29/7/2016
1349.7,1/8/2016
1363.8,2/8/2016
1358.9,3/8/2016
1362.8,4/8/2016
1340.4,5/8/2016
1336.8,8/8/2016
1341,9/8/2016
1347.7,10/8/2016
1355,11/8/2016
1352.2,12/8/2016
1339.4,15/8/2016
1344,16/8/2016
1343.4,17/8/2016
1350.1,18/8/2016
1346.4,19/8/2016
1335.9,22/8/2016
1342,23/8/2016
1327.3,24/8/2016
1321.3,25/8/2016
1318.8,26/8/2016
1318.8,29/8/2016
1318.2,30/8/2016
1309.3,31/8/2016
1309.5,1/9/2016
1324.7,2/9/2016
1326.4,5/9/2016
1337.3,6/9/2016
1348.4,7/9/2016
1343.4,8/9/2016
1330.9,9/9/2016
1324.6,12/9/2016
1323.7,13/9/2016
1321.8,14/9/2016
1310.8,15/9/2016
1308.4,16/9/2016
1314.9,19/9/2016
1313.8,20/9/2016
1326.1,21/9/2016
1339.1,22/9/2016
1338.7,23/9/2016
1340.5,26/9/2016
1327,27/9/2016
1322.5,28/9/2016
1318.1,29/9/2016
1322.5,30/9/2016
1313.3,3/10/2016
1283.3,4/10/2016
1269.4,5/10/2016
1254.5,6/10/2016
1258.8,7/10/2016
1259.5,10/10/2016
1253.5,11/10/2016
1256.5,12/10/2016
1261.1,13/10/2016
1251.8,14/10/2016
1254.8,17/10/2016
1258.2,18/10/2016
1269.1,19/10/2016
1271.7,20/10/2016
1266.1,21/10/2016
1265.6,24/10/2016
1269.4,25/10/2016
1270.5,26/10/2016
1266.3,27/10/2016
1273,28/10/2016
1272,31/10/2016
1288.5,1/11/2016
1303.8,2/11/2016
1301,3/11/2016
1302.8,4/11/2016
1283.1,7/11/2016
1282.4,8/11/2016
1281.4,9/11/2016
1267.5,10/11/2016
1236.5,11/11/2016
1213.6,14/11/2016
1227,15/11/2016
1229.2,16/11/2016
1226.8,17/11/2016
1211,18/11/2016
1214.3,21/11/2016
1212.3,22/11/2016
1185.4,23/11/2016
1186.1,24/11/2016
1187.7,25/11/2016
1187,28/11/2016
1186.6,29/11/2016
1178.1,30/11/2016
1161.9,1/12/2016
1173.5,2/12/2016
1162.2,5/12/2016
1172.5,6/12/2016
1177.7,7/12/2016
1171.1,8/12/2016
1163.6,9/12/2016
1156.1,12/12/2016
1158.6,13/12/2016
1162.3,14/12/2016
1127,15/12/2016
1131.6,16/12/2016
1136.3,19/12/2016
1125.7,20/12/2016
1133.7,21/12/2016
1131.4,22/12/2016
1131.4,23/12/2016
1131.4,26/12/2016
1131.4,27/12/2016
1134.6,28/12/2016
1145.9,29/12/2016
1145.9,30/12/2016
1145.9,2/1/2017
1151,3/1/2017
1164.3,4/1/2017
1176.7,5/1/2017
1175.9,6/1/2017
1178.5,9/1/2017
1189.5,10/1/2017
1178.6,11/1/2017
1205.1,12/1/2017
1190.4,13/1/2017
1203,16/1/2017
1216.1,17/1/2017
1214.8,18/1/2017
1196.1,19/1/2017
1200.6,20/1/2017
1212.9,23/1/2017
1216.8,24/1/2017
1195,25/1/2017
1189.7,26/1/2017
1184.9,27/1/2017
1192.8,30/1/2017
1212.8,31/1/2017
1203.7,1/2/2017
1222,2/2/2017
1215.2,3/2/2017
1226.8,6/2/2017
1231,7/2/2017
1242.1,8/2/2017
1236.8,9/2/2017
1228.3,10/2/2017
1222.3,13/2/2017
1230.8,14/2/2017
1224.4,15/2/2017
1240.6,16/2/2017
1242,17/2/2017
1237.3,20/2/2017
1233.2,21/2/2017
1236.7,22/2/2017
1247.9,23/2/2017
1253.7,24/2/2017
1257.2,27/2/2017
1255.6,28/2/2017
1240.4,1/3/2017
1238.1,2/3/2017
1226.5,3/3/2017
1231,6/3/2017
1216.7,7/3/2017
1209.2,8/3/2017
1206.6,9/3/2017
1202.7,10/3/2017
1204.2,13/3/2017
1204.6,14/3/2017
1198.8,15/3/2017
1229.4,16/3/2017
1229.6,17/3/2017
1232.4,20/3/2017
1241.6,21/3/2017
1249.1,22/3/2017
1247.5,23/3/2017
1247.5,24/3/2017
1257.6,27/3/2017
1257.3,28/3/2017
1251.1,29/3/2017
1248.8,30/3/2017
1244.9,31/3/2017
1247.3,3/4/2017
1257.7,4/4/2017
1245.8,5/4/2017
1252.5,6/4/2017
1266.5,7/4/2017
1250.1,10/4/2017
1252.9,11/4/2017
1274.3,12/4/2017
1284.2,13/4/2017
1284.2,14/4/2017
1284.2,17/4/2017
1279,18/4/2017
1279.1,19/4/2017
1282.1,20/4/2017
1281.9,21/4/2017
1269.4,24/4/2017
1267.8,25/4/2017
1261.9,26/4/2017
1262.8,27/4/2017
1266.5,28/4/2017
1266.5,1/5/2017
1255.5,2/5/2017
1250.3,3/5/2017
1228.5,4/5/2017
1228.1,5/5/2017
1229.8,8/5/2017
1220.4,9/5/2017
1223,10/5/2017
1223.2,11/5/2017
1231.3,12/5/2017
1233.3,15/5/2017
1234.2,16/5/2017
1257.4,17/5/2017
1255.9,18/5/2017
1252,19/5/2017
1258.9,22/5/2017
1260.2,23/5/2017
1252.6,24/5/2017
1257,25/5/2017
1265.1,26/5/2017
1265.1,29/5/2017
1262.7,30/5/2017
1266.2,31/5/2017
1264.9,1/6/2017
1275,2/6/2017
1280,5/6/2017
1293.5,6/6/2017
1291,7/6/2017
1273.1,8/6/2017
1266.6,9/6/2017
1266.4,12/6/2017
1262,13/6/2017
1275.5,14/6/2017
1254.6,15/6/2017
1255.4,16/6/2017
1248.2,19/6/2017
1242.2,20/6/2017
1242.5,21/6/2017
1250.8,22/6/2017
1255.7,23/6/2017
1245.3,26/6/2017
1249.6,27/6/2017
1248,28/6/2017
1243.5,29/6/2017
1242.3,30/6/2017
1229.3,3/7/2017
1223.8,4/7/2017
1220.3,5/7/2017
1224.9,6/7/2017
1215.7,7/7/2017
1211.9,10/7/2017
1211.1,11/7/2017
1218.8,12/7/2017
1218.9,13/7/2017
1230.3,14/7/2017
1234.1,17/7/2017
1240.8,18/7/2017
1242.2,19/7/2017
1238.7,20/7/2017
1248.6,21/7/2017
1255.6,24/7/2017
1254.4,25/7/2017
1248.1,26/7/2017
1261.1,27/7/2017
1264.9,28/7/2017
1267.6,31/7/2017
1271,1/8/2017
1269.6,2/8/2017
1268.1,3/8/2017
1257.7,4/8/2017
1258,7/8/2017
1261.8,8/8/2017
1271.1,9/8/2017
1284.4,10/8/2017
1286.1,11/8/2017
1282.3,14/8/2017
1270.3,15/8/2017
1272.8,16/8/2017
1285.2,17/8/2017
1295.8,18/8/2017
1292.9,21/8/2017
1284.2,22/8/2017
1286.7,23/8/2017
1289,24/8/2017
1285.3,25/8/2017
1285.3,28/8/2017
1318.7,29/8/2017
1308.5,30/8/2017
1311.8,31/8/2017
1320.4,1/9/2017
1333.1,4/9/2017
1335.6,5/9/2017
1337.9,6/9/2017
1343.5,7/9/2017
1346.3,8/9/2017
1334.2,11/9/2017
1326.5,12/9/2017
1327.6,13/9/2017
1324.6,14/9/2017
1322.9,15/9/2017
1312.1,18/9/2017
1309.6,19/9/2017
1311.3,20/9/2017
1292.1,21/9/2017
1294.8,22/9/2017
1293.3,25/9/2017
1300.1,26/9/2017
1282.6,27/9/2017
1283.4,28/9/2017
1283.1,29/9/2017
1273.7,2/10/2017
1271.3,3/10/2017
1274.3,4/10/2017
1274.5,5/10/2017
1261.8,6/10/2017
1278.8,9/10/2017
1291.4,10/10/2017
1289.3,11/10/2017
1290.3,12/10/2017
1299.6,13/10/2017
1303.3,16/10/2017
1284.8,17/10/2017
1280.2,18/10/2017
1286.4,19/10/2017
1281.2,20/10/2017
1274.9,23/10/2017
1276.5,24/10/2017
1275,25/10/2017
1273.8,26/10/2017
1266.5,27/10/2017
1272,30/10/2017
1270.2,31/10/2017
1277.1,1/11/2017
1279.2,2/11/2017
1267.2,3/11/2017
1270.9,6/11/2017
1275.6,7/11/2017
1284,8/11/2017
1284.8,9/11/2017
1284.3,10/11/2017
1278,13/11/2017
1274.6,14/11/2017
1282.2,15/11/2017
1280,16/11/2017
1284.4,17/11/2017
1286.2,20/11/2017
1283.3,21/11/2017
1287,22/11/2017
1290.4,23/11/2017
1290.5,24/11/2017
1294.9,27/11/2017
1291.9,28/11/2017
1283.9,29/11/2017
1280.2,30/11/2017
1275.5,1/12/2017
1273.5,4/12/2017
1266.3,5/12/2017
1263.7,6/12/2017
1255,7/12/2017
1250.7,8/12/2017
1247.2,11/12/2017
1240.9,12/12/2017
1242.7,13/12/2017
1251,14/12/2017
1254.6,15/12/2017
1260.6,18/12/2017
1260.4,19/12/2017
1264.6,20/12/2017
1264.6,21/12/2017
1264.6,22/12/2017
1264.6,25/12/2017
1264.6,26/12/2017
1279.4,27/12/2017
1291,28/12/2017
1291,29/12/2017
1291,1/1/2018
1312.1,2/1/2018
1314.9,3/1/2018
1314.5,4/1/2018
1317.2,5/1/2018
1320,8/1/2018
1311,9/1/2018
1319.8,10/1/2018
1323.1,11/1/2018
1326.8,12/1/2018
1339.3,15/1/2018
1333.9,16/1/2018
1335.7,17/1/2018
1332.2,18/1/2018
1335,19/1/2018
1332.6,22/1/2018
1333.4,23/1/2018
1353.7,24/1/2018
1355,25/1/2018
1353.2,26/1/2018
1343.9,29/1/2018
1344.9,30/1/2018
1345.1,31/1/2018
1341.4,1/2/2018
1331.2,2/2/2018
1333.6,5/2/2018
1331.4,6/2/2018
1324.7,7/2/2018
1315.5,8/2/2018
1314.1,9/2/2018
1322.3,12/2/2018
1325.4,13/2/2018
1336.3,14/2/2018
1352.5,15/2/2018
1352.1,16/2/2018
1346.6,19/2/2018
1339.9,20/2/2018
1330.5,21/2/2018
1328.4,22/2/2018
1328,23/2/2018
1333.5,26/2/2018
1325.8,27/2/2018
1317.9,28/2/2018
1307.8,1/3/2018
1322.3,2/3/2018
1320.4,5/3/2018
1331.4,6/3/2018
1329.4,7/3/2018
1321,8/3/2018
1320.6,9/3/2018
1319.2,12/3/2018
1322.8,13/3/2018
1323.6,14/3/2018
1318.8,15/3/2018
1310.1,16/3/2018
1312.4,19/3/2018
1311,20/3/2018
1321.4,21/3/2018
1329.2,22/3/2018
1346.6,23/3/2018
1352.4,26/3/2018
1341.5,27/3/2018
1332.5,28/3/2018
1323.9,29/3/2018
1323.9,30/3/2018
1323.9,2/4/2018
1333.5,3/4/2018
1337.3,4/4/2018
1327.7,5/4/2018
1331.2,6/4/2018
1332,9/4/2018
1339,10/4/2018
1350.8,11/4/2018
1341.4,12/4/2018
1343.7,13/4/2018
1349.4,16/4/2018
1342.1,17/4/2018
1351.5,18/4/2018
1348.6,19/4/2018
1336.8,20/4/2018
1324.3,23/4/2018
1328.9,24/4/2018
1321.7,25/4/2018
1320.7,26/4/2018
1321.5,27/4/2018
1313.2,30/4/2018
1307.1,1/5/2018
1304.2,2/5/2018
1315.1,3/5/2018
1309.4,4/5/2018
1309.4,7/5/2018
1306.6,8/5/2018
1313.9,9/5/2018
1318.8,10/5/2018
1324.4,11/5/2018
1319.9,14/5/2018
1295,15/5/2018
1291.3,16/5/2018
1289.5,17/5/2018
1288.3,18/5/2018
1288.4,21/5/2018
1293.1,22/5/2018
1289,23/5/2018
1304.9,24/5/2018
1303.5,25/5/2018
1303.5,28/5/2018
1295.5,29/5/2018
1300.7,30/5/2018
1305.4,31/5/2018
1294.6,1/6/2018
1295.5,4/6/2018
1292.1,5/6/2018
1300.1,6/6/2018
1297.3,7/6/2018
1298.3,8/6/2018
1299.6,11/6/2018
1298.7,12/6/2018
1296.2,13/6/2018
1302.8,14/6/2018
1285.3,15/6/2018
1281.6,18/6/2018
1276.2,19/6/2018
1274.2,20/6/2018
1266.2,21/6/2018
1269.2,22/6/2018
1268.7,25/6/2018
1260.3,26/6/2018
1254.6,27/6/2018
1251.6,28/6/2018
1250.5,29/6/2018
1247.8,2/7/2018
1251.8,3/7/2018
1255.7,4/7/2018
1255.5,5/7/2018
1255.4,6/7/2018
1262.1,9/7/2018
1254,10/7/2018
1251.4,11/7/2018
1245.9,12/7/2018
1241.7,13/7/2018
1241.1,16/7/2018
1232.8,17/7/2018
1224.5,18/7/2018
1217.6,19/7/2018
1228.8,20/7/2018
1225,23/7/2018
1228.4,24/7/2018
1231.5,25/7/2018
1228.3,26/7/2018
1224,27/7/2018
1223.8,30/7/2018
1221,31/7/2018
1219,1/8/2018
1215.5,2/8/2018
1216.3,3/8/2018
1209.7,6/8/2018
1212.4,7/8/2018
1209.6,8/8/2018
1214.4,9/8/2018
1214.4,10/8/2018
1200.4,13/8/2018
1197,14/8/2018
1182,15/8/2018
1180.4,16/8/2018
1178.4,17/8/2018
1184.4,20/8/2018
1191,21/8/2018
1196.7,22/8/2018
1192.4,23/8/2018
1197.7,24/8/2018
1197.7,27/8/2018
1212.3,28/8/2018
1204.2,29/8/2018
1197.3,30/8/2018
1202.5,31/8/2018
1200.1,3/9/2018
1190.9,4/9/2018
1196.7,5/9/2018
1205.2,6/9/2018
1198.9,7/9/2018
1196.6,10/9/2018
1189.9,11/9/2018
1195.6,12/9/2018
1209.8,13/9/2018
1202,14/9/2018
1201.9,17/9/2018
1200.2,18/9/2018
1203.3,19/9/2018
1208.4,20/9/2018
1198.7,21/9/2018
1202.8,24/9/2018
1201.9,25/9/2018
1194.3,26/9/2018
1185.4,27/9/2018
1187.3,28/9/2018
1189.4,1/10/2018
1204.7,2/10/2018
1201.2,3/10/2018
1203.5,4/10/2018
1203.8,5/10/2018
1187,8/10/2018
1185.6,9/10/2018
1188.6,10/10/2018
1205.6,11/10/2018
1219.8,12/10/2018
1230,15/10/2018
1230.7,16/10/2018
1229.1,17/10/2018
1223,18/10/2018
1227.9,19/10/2018
1222.3,22/10/2018
1236,23/10/2018
1230.6,24/10/2018
1230.8,25/10/2018
1233.9,26/10/2018
1230.8,29/10/2018
1225.4,30/10/2018
1215,31/10/2018
1231.2,1/11/2018
1232.1,2/11/2018
1232.3,5/11/2018
1231.6,6/11/2018
1230,7/11/2018
1224.2,8/11/2018
1211.4,9/11/2018
1205.6,12/11/2018
1202.1,13/11/2018
1203.3,14/11/2018
1211.9,15/11/2018
1222.4,16/11/2018
1221.6,19/11/2018
1223,20/11/2018
1226.1,21/11/2018
1227.1,22/11/2018
1223.7,23/11/2018
1223.4,26/11/2018
1221.2,27/11/2018
1213.3,28/11/2018
1226.3,29/11/2018
1217.6,30/11/2018
1230.3,3/12/2018
1240.3,4/12/2018
1235.9,5/12/2018
1242.6,6/12/2018
1243.3,7/12/2018
1245.4,10/12/2018
1245.3,11/12/2018
1245.8,12/12/2018
1242.8,13/12/2018
1235.4,14/12/2018
1241.7,17/12/2018
1246.3,18/12/2018
1255,19/12/2018
1259.8,20/12/2018
1258.2,21/12/2018
1258.2,24/12/2018
1258.2,25/12/2018
1258.2,26/12/2018
1268,27/12/2018
1279,28/12/2018
1279,31/12/2018
1279,1/1/2019
1282.9,2/1/2019
1290.5,3/1/2019
1279.9,4/1/2019
1292.2,7/1/2019
1286.5,8/1/2019
1288.6,9/1/2019
1291.9,10/1/2019
1289,11/1/2019
1292.8,14/1/2019
1294.4,15/1/2019
1292.3,16/1/2019
1290.7,17/1/2019
1284.2,18/1/2019
1279.6,21/1/2019
1282.1,22/1/2019
1279.8,23/1/2019
1283.7,24/1/2019
1293.9,25/1/2019
1302.2,28/1/2019
1307.6,29/1/2019
1310.7,30/1/2019
1323.3,31/1/2019
1318.7,1/2/2019
